Country Name;Country Code;Year;Gini Ratio;
Austria;AUT;2002-01-01;;62455.39898
Austria;AUT;2003-01-01;29.5;62455.39898
Austria;AUT;2004-01-01;29.8;62455.39898
Austria;AUT;2005-01-01;28.7;62455.39898
Austria;AUT;2006-01-01;29.6;62455.39898
Austria;AUT;2007-01-01;30.6;62455.39898
Austria;AUT;2008-01-01;30.4;62455.39898
Austria;AUT;2009-01-01;31.5;62455.39898
Austria;AUT;2010-01-01;30.3;62455.39898
Austria;AUT;2011-01-01;30.8;62455.39898
Austria;AUT;2012-01-01;30.5;62455.39898
Austria;AUT;2013-01-01;30.8;62455.39898
Austria;AUT;2014-01-01;30.5;62455.39898
Austria;AUT;2015-01-01;30.5;62455.39898
Austria;AUT;2016-01-01;;62455.39898
Denmark;DNK;2002-01-01;;61175.76669
Denmark;DNK;2003-01-01;25.6;61175.76669
Denmark;DNK;2004-01-01;24.9;61175.76669
Denmark;DNK;2005-01-01;25.2;61175.76669
Denmark;DNK;2006-01-01;25.9;61175.76669
Denmark;DNK;2007-01-01;26.2;61175.76669
Denmark;DNK;2008-01-01;25.2;61175.76669
Denmark;DNK;2009-01-01;26.7;61175.76669
Denmark;DNK;2010-01-01;27.2;61175.76669
Denmark;DNK;2011-01-01;27.3;61175.76669
Denmark;DNK;2012-01-01;27.8;61175.76669
Denmark;DNK;2013-01-01;28.5;61175.76669
Denmark;DNK;2014-01-01;28.4;61175.76669
Denmark;DNK;2015-01-01;28.2;61175.76669
Denmark;DNK;2016-01-01;;61175.76669
Ireland;IRL;2002-01-01;;114120.5445
Ireland;IRL;2003-01-01;32.9;114120.5445
Ireland;IRL;2004-01-01;33.6;114120.5445
Ireland;IRL;2005-01-01;33.7;114120.5445
Ireland;IRL;2006-01-01;32.7;114120.5445
Ireland;IRL;2007-01-01;31.9;114120.5445
Ireland;IRL;2008-01-01;30.9;114120.5445
Ireland;IRL;2009-01-01;32.7;114120.5445
Ireland;IRL;2010-01-01;32.3;114120.5445
Ireland;IRL;2011-01-01;32.9;114120.5445
Ireland;IRL;2012-01-01;33.2;114120.5445
Ireland;IRL;2013-01-01;33.5;114120.5445
Ireland;IRL;2014-01-01;31.9;114120.5445
Ireland;IRL;2015-01-01;31.8;114120.5445
Ireland;IRL;2016-01-01;;114120.5445
Luxembourg;LUX;2002-01-01;;137947.3439
Luxembourg;LUX;2003-01-01;30.2;137947.3439
Luxembourg;LUX;2004-01-01;30.2;137947.3439
Luxembourg;LUX;2005-01-01;30.8;137947.3439
Luxembourg;LUX;2006-01-01;30.9;137947.3439
Luxembourg;LUX;2007-01-01;31.1;137947.3439
Luxembourg;LUX;2008-01-01;32.6;137947.3439
Luxembourg;LUX;2009-01-01;31.2;137947.3439
Luxembourg;LUX;2010-01-01;30.5;137947.3439
Luxembourg;LUX;2011-01-01;32.1;137947.3439
Luxembourg;LUX;2012-01-01;34.3;137947.3439
Luxembourg;LUX;2013-01-01;32;137947.3439
Luxembourg;LUX;2014-01-01;31.2;137947.3439
Luxembourg;LUX;2015-01-01;33.8;137947.3439
Luxembourg;LUX;2016-01-01;;137947.3439
Norway;NOR;2002-01-01;;84283.03499
Norway;NOR;2003-01-01;27.6;84283.03499
Norway;NOR;2004-01-01;31.6;84283.03499
Norway;NOR;2005-01-01;30.6;84283.03499
Norway;NOR;2006-01-01;26.4;84283.03499
Norway;NOR;2007-01-01;27.1;84283.03499
Norway;NOR;2008-01-01;27;84283.03499
Norway;NOR;2009-01-01;26.2;84283.03499
Norway;NOR;2010-01-01;25.7;84283.03499
Norway;NOR;2011-01-01;25.3;84283.03499
Norway;NOR;2012-01-01;25.7;84283.03499
Norway;NOR;2013-01-01;26.4;84283.03499
Norway;NOR;2014-01-01;26.8;84283.03499
Norway;NOR;2015-01-01;27.5;84283.03499
Norway;NOR;2016-01-01;;84283.03499
