Year,Trade_Type,Country,Trade_Value
2013,Export,Brunei Darussalam,122695879
2013,Export,Myanmar,556374775
2013,Export,Cambodia,312461056
2013,Export,Lao People's Dem. Rep.,5846339
2013,Export,Malaysia,10666609471
2013,Export,Philippines,3816962607
2013,Export,Singapore,16686238643
2013,Export,Viet Nam,2400879753
2013,Export,Thailand,6061869962
2013,Import,Brunei Darussalam,645392246
2013,Import,Myanmar,73151428
2013,Import,Cambodia,17844685
2013,Import,Lao People's Dem. Rep.,7545137
2013,Import,Malaysia,13322532977
2013,Import,Philippines,777383933
2013,Import,Singapore,25581520273
2013,Import,Viet Nam,2722637451
2013,Import,Thailand,10703074072
2014,Export,Brunei Darussalam,100296035
2014,Export,Myanmar,566906935
2014,Export,Cambodia,415816818
2014,Export,Lao People's Dem. Rep.,4545247
2014,Export,Malaysia,9731540673
2014,Export,Philippines,3887831709
2014,Export,Singapore,16752339986
2014,Export,Viet Nam,2451196725
2014,Export,Thailand,5784719711
2014,Import,Brunei Darussalam,594302740
2014,Import,Myanmar,122076991
2014,Import,Cambodia,18696935
2014,Import,Lao People's Dem. Rep.,51258138
2014,Import,Malaysia,10855394373
2014,Import,Philippines,699736566
2014,Import,Singapore,25186115317
2014,Import,Viet Nam,3417776777
2014,Import,Thailand,9781053021
2015,Export,Brunei Darussalam,91229766
2015,Export,Myanmar,615670386
2015,Export,Cambodia,429715881
2015,Export,Lao People's Dem. Rep.,7745233
2015,Export,Malaysia,7630889322
2015,Export,Philippines,3921676834
2015,Export,Singapore,12632634348
2015,Export,Viet Nam,2740178896
2015,Export,Thailand,5507253044
2015,Import,Brunei Darussalam,131437232
2015,Import,Myanmar,160418362
2015,Import,Cambodia,21127812
2015,Import,Lao People's Dem. Rep.,809796
2015,Import,Malaysia,8530667553
2015,Import,Philippines,683083232
2015,Import,Singapore,18022558666
2015,Import,Viet Nam,3161530523
2015,Import,Thailand,8083368324
2016,Export,Brunei Darussalam,88667291
2016,Export,Myanmar,615683509
2016,Export,Cambodia,425420521
2016,Export,Lao People's Dem. Rep.,5873921
2016,Export,Malaysia,7112008233
2016,Export,Philippines,5270872707
2016,Export,Singapore,11246431902
2016,Export,Viet Nam,3045496445
2016,Export,Thailand,5392399348
2016,Import,Brunei Darussalam,87726738
2016,Import,Myanmar,113339640
2016,Import,Cambodia,25317829
2016,Import,Lao People's Dem. Rep.,4197059
2016,Import,Malaysia,7200943798
2016,Import,Philippines,821806229
2016,Import,Singapore,14548298535
2016,Import,Viet Nam,3228402149
2016,Import,Thailand,8666933266
2017,Import,Philippines,859298194
2017,Import,Thailand,9281606247
2017,Import,Viet Nam,3228760343
2017,Import,Malaysia,8858197446
2017,Import,Singapore,16888495760
2017,Import,Lao People's Dem. Rep.,11891215
2017,Import,Cambodia,28327220
2017,Import,Myanmar,145723021
2017,Import,Brunei Darussalam,42518982
2017,Export,Malaysia,8441139739
2017,Export,Brunei Darussalam,64506598
2017,Export,Cambodia,513912147
2017,Export,Singapore,12724896712
2017,Export,Philippines,6629644542
2017,Export,Thailand,6473725884
2017,Export,Viet Nam,3586906701
2017,Export,Myanmar,827456502
2017,Export,Lao People's Dem. Rep.,4212451
2018,Import,Malaysia,8602839083
2018,Import,Myanmar,151560511
2018,Import,Lao People's Dem. Rep.,25677551
2018,Import,Philippines,958432327
2018,Import,Cambodia,33022314
2018,Import,Viet Nam,3794629974
2018,Import,Thailand,10952798159
2018,Import,Singapore,21439514466
2018,Import,Brunei Darussalam,20097336
2018,Export,Singapore,12991592685
2018,Export,Malaysia,9436721342
2018,Export,Myanmar,897490178
2018,Export,Philippines,6825460221
2018,Export,Cambodia,525377998
2018,Export,Thailand,6818948855
2018,Export,Brunei Darussalam,61180995
2018,Export,Viet Nam,4583936588
2018,Export,Lao People's Dem. Rep.,7300435
2019,Import,Singapore,17589850198
2019,Import,Malaysia,7775273501
2019,Import,Viet Nam,3848195857
2019,Import,Thailand,9469093161
2019,Import,Cambodia,42594713
2019,Import,Lao People's Dem. Rep.,31121724
2019,Import,Myanmar,182678864
2019,Import,Philippines,821897119
2019,Import,Brunei Darussalam,30551949
2019,Export,Brunei Darussalam,103153604
2019,Export,Malaysia,8801814961
2019,Export,Myanmar,875626154
2019,Export,Viet Nam,5153358373
2019,Export,Cambodia,618521124
2019,Export,Philippines,6770111447
2019,Export,Singapore,12916729676
2019,Export,Thailand,6218393408
2019,Export,Lao People's Dem. Rep.,6836966
2020,Import,Thailand,6483756697
2020,Import,Singapore,12341231341
2020,Import,Malaysia,6933018937
2020,Import,Viet Nam,3130605755
2020,Import,Philippines,592009526
2020,Import,Cambodia,47355643
2020,Import,Myanmar,187248822
2020,Import,Brunei Darussalam,75338073
2020,Import,Lao People's Dem. Rep.,42265994
2020,Export,Thailand,5110298772
2020,Export,Viet Nam,4941357771
2020,Export,Myanmar,1031871858
2020,Export,Singapore,10661853768
2020,Export,Brunei Darussalam,128962066
2020,Export,Philippines,5900740890
2020,Export,Malaysia,8098764365
2020,Export,Cambodia,541303941
2020,Export,Lao People's Dem. Rep.,5095719
2021,Export,Cambodia,531124657
2021,Export,Myanmar,1122300851
2021,Export,Viet Nam,6851269479
2021,Export,Brunei Darussalam,211434287
2021,Export,Malaysia,12006469604
2021,Export,Singapore,11634139477
2021,Export,Philippines,8603714682
2021,Export,Thailand,7090257099
2021,Export,Lao People's Dem. Rep.,7577025
2021,Import,Cambodia,49256299
2021,Import,Singapore,15451683940
2021,Import,Lao People's Dem. Rep.,37967253
2021,Import,Malaysia,9451030469
2021,Import,Viet Nam,4212975831
2021,Import,Philippines,1273265244
2021,Import,Thailand,9146469121
2021,Import,Brunei Darussalam,162844243
2021,Import,Myanmar,165906473
2022,Import,Lao People's Dem. Rep.,167606519
2022,Import,Myanmar,111200127
2022,Import,Cambodia,62637119
2022,Import,Brunei Darussalam,657169803
2022,Import,Malaysia,12475633399
2022,Import,Viet Nam,4817796897
2022,Import,Philippines,1493777897
2022,Import,Singapore,19409472946
2022,Import,Thailand,10989023969
2022,Export,Thailand,8169360880
2022,Export,Philippines,12903203199
2022,Export,Viet Nam,8286044388
2022,Export,Cambodia,725959524
2022,Export,Myanmar,965999020
2022,Export,Brunei Darussalam,240260423
2022,Export,Malaysia,15452430525
2022,Export,Singapore,14395729722
2022,Export,Lao People's Dem. Rep.,26622238
