Year;HS Description;Import Percentage
2011;Motor vehicles;1.28%
2012;Motor vehicles;1.56%
2013;Motor vehicles;1.72%
2014;Motor vehicles;1.63%
2015;Motor vehicles;1.72%
2016;Motor vehicles;1.91%
2017;Motor vehicles;2.02%
2018;Motor vehicles;2.00%
2019;Motor vehicles;1.97%
2020;Motor vehicles;1.30%
2021;Motor vehicles;1.59%
2022;Motor vehicles;1.75%
2011;Petroleum gases;0.80%
2012;Petroleum gases;1.61%
2013;Petroleum gases;1.67%
2014;Petroleum gases;1.70%
2015;Petroleum gases;1.41%
2016;Petroleum gases;1.23%
2017;Petroleum gases;1.74%
2018;Petroleum gases;1.62%
2019;Petroleum gases;1.46%
2020;Petroleum gases;1.82%
2021;Petroleum gases;2.09%
2022;Petroleum gases;2.06%
2011;Petroleum oils, not crude;15.62%
2012;Petroleum oils, not crude;14.63%
2013;Petroleum oils, not crude;14.92%
2014;Petroleum oils, not crude;14.99%
2015;Petroleum oils, not crude;9.82%
2016;Petroleum oils, not crude;7.33%
2017;Petroleum oils, not crude;8.99%
2018;Petroleum oils, not crude;9.08%
2019;Petroleum oils, not crude;7.64%
2020;Petroleum oils, not crude;5.63%
2021;Petroleum oils, not crude;7.12%
2022;Petroleum oils, not crude;9.85%
2011;Petroleum oils, crude;6.29%
2012;Petroleum oils, crude;5.64%
2013;Petroleum oils, crude;7.28%
2014;Petroleum oils, crude;7.34%
2015;Petroleum oils, crude;5.65%
2016;Petroleum oils, crude;4.96%
2017;Petroleum oils, crude;4.50%
2018;Petroleum oils, crude;4.85%
2019;Petroleum oils, crude;3.33%
2020;Petroleum oils, crude;2.40%
2021;Petroleum oils, crude;3.59%
2022;Petroleum oils, crude;4.82%
2011;Telephone sets (smartphone);2.58%
2012;Telephone sets (smartphone);2.67%
2013;Telephone sets (smartphone);2.84%
2014;Telephone sets (smartphone);2.73%
2015;Telephone sets (smartphone);3.02%
2016;Telephone sets (smartphone);3.09%
2017;Telephone sets (smartphone);3.06%
2018;Telephone sets (smartphone);3.08%
2019;Telephone sets (smartphone);3.32%
2020;Telephone sets (smartphone);4.21%
2021;Telephone sets (smartphone);3.20%
2022;Telephone sets (smartphone);0.00%
2011;Telephone sets (smartphone);1.24%
2012;Wheat and meslin;1.18%
2013;Wheat and meslin;1.31%
2014;Wheat and meslin;1.34%
2015;Wheat and meslin;1.46%
2016;Wheat and meslin;1.78%
2017;Wheat and meslin;1.69%
2018;Wheat and meslin;1.36%
2019;Wheat and meslin;1.63%
2020;Wheat and meslin;1.85%
2021;Wheat and meslin;1.81%
2022;Wheat and meslin;1.60%
